BoardNumber	Depth	VDP	Board	Shift
6  0.206  40.47  A6  A
7  0.206  43.88  A7  A
8  0.206  44.1  A8  A
9  0.206  43.18  A9  A
1  0.208  45.63  A1  A
2  0.208  42.8  A2  A
3  0.208  47.34  A3  A
4  0.208  46.97  A4  A
5  0.208  43.98  A5  A
6  0.208  40.23  A6  A
7  0.208  44.14  A7  A
8  0.208  44.1  A8  A
9  0.208  43.05  A9  A
1  0.21  46.09  A1  A
2  0.21  43.17  A2  A
3  0.21  47.75  A3  A
4  0.21  46.84  A4  A
5  0.21  43.59  A5  A
6  0.21  40.47  A6  A
7  0.21  43.88  A7  A
8  0.21  44.1  A8  A
9  0.21  43.05  A9  A
1  0.212  46.09  A1  A
2  0.212  42.86  A2  A
3  0.212  47.75  A3  A
4  0.212  46.63  A4  A
5  0.212  43.66  A5  A
6  0.212  40.76  A6  A
7  0.212  44.14  A7  A
8  0.212  43.91  A8  A
9  0.212  43.24  A9  A
1  0.214  45.95  A1  A
2  0.214  42.86  A2  A
3  0.214  47.61  A3  A
4  0.214  46.9  A4  A
5  0.214  43.79  A5  A
6  0.214  40.7  A6  A
7  0.214  43.88  A7  A
8  0.214  43.91  A8  A
9  0.214  43.05  A9  A
1  0.216  46.35  A1  A
2  0.216  43.05  A2  A
3  0.216  48.03  A3  A
4  0.216  46.97  A4  A
5  0.216  43.4  A5  A
6  0.216  40.7  A6  A
7  0.216  43.69  A7  A
8  0.216  44.1  A8  A
9  0.216  43.11  A9  A
1  0.218  46.35  A1  A
2  0.218  42.8  A2  A
3  0.218  47.75  A3  A
4  0.218  47.11  A4  A
5  0.218  43.15  A5  A
6  0.218  40.35  A6  A
7  0.218  44.34  A7  A
8  0.218  44.04  A8  A
9  0.218  43.3  A9  A
1  0.22  46.35  A1  A
2  0.22  42.68  A2  A
3  0.22  47.96  A3  A
4  0.22  47.04  A4  A
5  0.22  43.28  A5  A
6  0.22  40.7  A6  A
7  0.22  44.47  A7  A
8  0.22  44.42  A8  A
9  0.22  42.93  A9  A
1  0.222  46.09  A1  A
2  0.222  43.11  A2  A
3  0.222  47.75  A3  A
4  0.222  46.7  A4  A
5  0.222  43.72  A5  A
6  0.222  40.41  A6  A
7  0.222  44.01  A7  A
8  0.222  44.1  A8  A
9  0.222  42.99  A9  A
1  0.224  45.95  A1  A
2  0.224  42.8  A2  A
3  0.224  47.68  A3  A
4  0.224  47.32  A4  A
5  0.224  43.28  A5  A
6  0.224  40.59  A6  A
7  0.224  44.01  A7  A
8  0.224  43.72  A8  A
9  0.224  43.24  A9  A
1  0.226  46.02  A1  A
2  0.226  42.68  A2  A
3  0.226  47.75  A3  A
4  0.226  47.11  A4  A
5  0.226  43.59  A5  A
6  0.226  40.23  A6  A
7  0.226  44.01  A7  A
8  0.226  44.1  A8  A
9  0.226  43.24  A9  A
1  0.228  45.82  A1  A
2  0.228  42.55  A2  A
3  0.228  47.96  A3  A
4  0.228  47.39  A4  A
5  0.228  43.4  A5  A
6  0.228  40.41  A6  A
7  0.228  43.82  A7  A
8  0.228  43.72  A8  A
9  0.228  43.24  A9  A
1  0.23  46.15  A1  A
2  0.23  43.05  A2  A
3  0.23  47.96  A3  A
4  0.23  47.18  A4  A
5  0.23  43.47  A5  A
6  0.23  40.41  A6  A
7  0.23  44.08  A7  A
8  0.23  43.91  A8  A
9  0.23  43.05  A9  A
1  0.232  45.95  A1  A
2  0.232  42.8  A2  A
3  0.232  47.47  A3  A
4  0.232  47.25  A4  A
5  0.232  42.46  A5  A
6  0.232  40.53  A6  A
7  0.232  43.82  A7  A
8  0.232  44.04  A8  A
9  0.232  42.93  A9  A
1  0.234  46.42  A1  A
2  0.234  42.74  A2  A
3  0.234  47.89  A3  A
4  0.234  46.97  A4  A
5  0.234  43.21  A5  A
6  0.234  40.29  A6  A
7  0.234  43.95  A7  A
8  0.234  43.97  A8  A
9  0.234  42.93  A9  A
1  0.236  46.09  A1  A
2  0.236  42.55  A2  A
3  0.236  48.24  A3  A
4  0.236  46.9  A4  A
5  0.236  43.21  A5  A
6  0.236  40.29  A6  A
7  0.236  44.47  A7  A
8  0.236  44.23  A8  A
9  0.236  42.99  A9  A
1  0.238  45.89  A1  A
2  0.238  42.49  A2  A
3  0.238  47.89  A3  A
4  0.238  46.9  A4  A
5  0.238  43.28  A5  A
6  0.238  40.11  A6  A
7  0.238  44.21  A7  A
8  0.238  44.1  A8  A
9  0.238  42.68  A9  A
1  0.24  45.95  A1  A
2  0.24  42.68  A2  A
3  0.24  48.1  A3  A
4  0.24  46.7  A4  A
5  0.24  43.09  A5  A
6  0.24  40.23  A6  A
7  0.24  44.21  A7  A
8  0.24  43.91  A8  A
9  0.24  42.8  A9  A
1  0.242  45.89  A1  A
2  0.242  42.55  A2  A
3  0.242  47.68  A3  A
4  0.242  46.63  A4  A
5  0.242  43.02  A5  A
6  0.242  40.41  A6  A
7  0.242  44.47  A7  A
8  0.242  43.97  A8  A
9  0.242  42.93  A9  A
1  0.244  45.95  A1  A
2  0.244  42.37  A2  A
3  0.244  47.75  A3  A
4  0.244  46.63  A4  A
5  0.244  42.96  A5  A
6  0.244  40.11  A6  A
7  0.244  44.27  A7  A
8  0.244  44.23  A8  A
9  0.244  42.93  A9  A
1  0.246  46.15  A1  A
2  0.246  42.55  A2  A
3  0.246  47.47  A3  A
4  0.246  46.7  A4  A
5  0.246  42.83  A5  A
6  0.246  40.11  A6  A
7  0.246  44.21  A7  A
8  0.246  44.23  A8  A
9  0.246  43.24  A9  A
1  0.248  45.63  A1  A
2  0.248  42.37  A2  A
3  0.248  47.2  A3  A
4  0.248  46.63  A4  A
5  0.248  43.09  A5  A
6  0.248  39.88  A6  A
7  0.248  44.08  A7  A
8  0.248  44.36  A8  A
9  0.248  42.99  A9  A
1  0.25  45.56  A1  A
2  0.25  42.31  A2  A
3  0.25  47.47  A3  A
4  0.25  46.63  A4  A
5  0.25  43.02  A5  A
6  0.25  39.99  A6  A
7  0.25  44.21  A7  A
8  0.25  44.55  A8  A
9  0.25  43.11  A9  A
1  0.252  45.63  A1  A
2  0.252  42.37  A2  A
3  0.252  47.06  A3  A
4  0.252  46.7  A4  A
5  0.252  42.77  A5  A
6  0.252  40.11  A6  A
7  0.252  44.4  A7  A
8  0.252  44.36  A8  A
9  0.252  42.99  A9  A
1  0.254  45.63  A1  A
2  0.254  42.31  A2  A
3  0.254  47.13  A3  A
4  0.254  46.36  A4  A
5  0.254  43.02  A5  A
6  0.254  39.88  A6  A
7  0.254  44.66  A7  A
8  0.254  44.16  A8  A
9  0.254  43.36  A9  A
1  0.256  45.49  A1  A
2  0.256  42.12  A2  A
3  0.256  47.13  A3  A
4  0.256  46.56  A4  A
5  0.256  42.83  A5  A
6  0.256  39.93  A6  A
7  0.256  44.47  A7  A
8  0.256  44.23  A8  A
9  0.256  42.74  A9  A
1  0.258  45.49  A1  A
2  0.258  42.25  A2  A
3  0.258  47.27  A3  A
4  0.258  46.43  A4  A
5  0.258  42.9  A5  A
6  0.258  39.76  A6  A
7  0.258  44.6  A7  A
8  0.258  43.72  A8  A
9  0.258  43.24  A9  A
1  0.26  45.56  A1  A
2  0.26  42.12  A2  A
3  0.26  47.54  A3  A
4  0.26  46.15  A4  A
5  0.26  43.02  A5  A
6  0.26  39.93  A6  A
7  0.26  44.21  A7  A
8  0.26  44.04  A8  A
9  0.26  43.36  A9  A
1  0.262  45.89  A1  A
2  0.262  42.06  A2  A
3  0.262  47.47  A3  A
4  0.262  46.15  A4  A
5  0.262  42.9  A5  A
6  0.262  39.82  A6  A
7  0.262  44.4  A7  A
8  0.262  44.29  A8  A
9  0.262  43.11  A9  A
1  0.264  45.36  A1  A
2  0.264  42.31  A2  A
3  0.264  48.03  A3  A
4  0.264  46.09  A4  A
5  0.264  43.21  A5  A
6  0.264  39.82  A6  A
7  0.264  44.47  A7  A
8  0.264  44.74  A8  A
9  0.264  43.24  A9  A
1  0.266  45.69  A1  A
2  0.266  42.19  A2  A
3  0.266  47.61  A3  A
4  0.266  45.95  A4  A
5  0.266  43.09  A5  A
6  0.266  39.76  A6  A
7  0.266  44.34  A7  A
8  0.266  44.23  A8  A
9  0.266  42.93  A9  A
1  0.268  45.49  A1  A
2  0.268  42.25  A2  A
3  0.268  47.54  A3  A
4  0.268  46.09  A4  A
5  0.268  43.21  A5  A
6  0.268  39.82  A6  A
7  0.268  44.08  A7  A
8  0.268  44.29  A8  A
9  0.268  43.3  A9  A
1  0.27  45.69  A1  A
2  0.27  42.19  A2  A
3  0.27  47.68  A3  A
4  0.27  46.02  A4  A
5  0.27  42.96  A5  A
6  0.27  39.7  A6  A
7  0.27  43.56  A7  A
8  0.27  44.42  A8  A
9  0.27  43.43  A9  A
1  0.272  45.63  A1  A
2  0.272  42.25  A2  A
3  0.272  48.17  A3  A
4  0.272  46.09  A4  A
5  0.272  43.09  A5  A
6  0.272  39.52  A6  A
7  0.272  43.95  A7  A
8  0.272  44.61  A8  A
9  0.272  43.11  A9  A
1  0.274  45.69  A1  A
2  0.274  42.06  A2  A
3  0.274  47.89  A3  A
4  0.274  46.09  A4  A
5  0.274  42.77  A5  A
6  0.274  39.58  A6  A
7  0.274  43.76  A7  A
8  0.274  44.29  A8  A
9  0.274  43.36  A9  A
1  0.276  45.69  A1  A
2  0.276  42.12  A2  A
3  0.276  48.17  A3  A
4  0.276  46.43  A4  A
5  0.276  43.15  A5  A
6  0.276  39.7  A6  A
7  0.276  43.69  A7  A
8  0.276  44.68  A8  A
9  0.276  43.11  A9  A
1  0.278  45.82  A1  A
2  0.278  42  A2  A
3  0.278  47.34  A3  A
4  0.278  46.43  A4  A
5  0.278  42.9  A5  A
6  0.278  39.41  A6  A
7  0.278  43.82  A7  A
8  0.278  44.16  A8  A
9  0.278  43.43  A9  A
1  0.28  45.56  A1  A
2  0.28  41.94  A2  A
3  0.28  47.82  A3  A
4  0.28  46.15  A4  A
5  0.28  43.02  A5  A
6  0.28  39.7  A6  A
7  0.28  43.88  A7  A
8  0.28  44.04  A8  A
9  0.28  43.49  A9  A
1  0.282  45.89  A1  A
2  0.282  42.19  A2  A
3  0.282  47.96  A3  A
4  0.282  46.29  A4  A
5  0.282  42.9  A5  A
6  0.282  39.35  A6  A
7  0.282  43.82  A7  A
8  0.282  43.85  A8  A
9  0.282  43.05  A9  A
1  0.284  45.63  A1  A
2  0.284  42.12  A2  A
3  0.284  48.03  A3  A
4  0.284  46.49  A4  A
5  0.284  43.21  A5  A
6  0.284  39.82  A6  A
7  0.284  43.69  A7  A
8  0.284  43.78  A8  A
9  0.284  43.05  A9  A
1  0.286  45.95  A1  A
2  0.286  42  A2  A
3  0.286  48.1  A3  A
4  0.286  46.63  A4  A
5  0.286  43.02  A5  A
6  0.286  39.82  A6  A
7  0.286  43.76  A7  A
8  0.286  43.91  A8  A
9  0.286  43.18  A9  A
1  0.288  45.63  A1  A
2  0.288  41.94  A2  A
3  0.288  47.75  A3  A
4  0.288  46.49  A4  A
5  0.288  42.9  A5  A
6  0.288  39.7  A6  A
7  0.288  44.01  A7  A
8  0.288  43.72  A8  A
9  0.288  43.11  A9  A
1  0.29  45.63  A1  A
2  0.29  41.82  A2  A
3  0.29  48.17  A3  A
4  0.29  46.7  A4  A
5  0.29  42.96  A5  A
6  0.29  39.93  A6  A
7  0.29  43.95  A7  A
8  0.29  43.85  A8  A
9  0.29  42.93  A9  A
1  0.292  45.76  A1  A
2  0.292  42.12  A2  A
3  0.292  48.1  A3  A
4  0.292  46.63  A4  A
5  0.292  42.9  A5  A
6  0.292  39.93  A6  A
7  0.292  43.63  A7  A
8  0.292  43.85  A8  A
9  0.292  42.87  A9  A
1  0.294  45.49  A1  A
2  0.294  42.06  A2  A
3  0.294  48.31  A3  A
4  0.294  46.56  A4  A
5  0.294  43.34  A5  A
6  0.294  39.64  A6  A
7  0.294  43.56  A7  A
8  0.294  44.04  A8  A
9  0.294  42.99  A9  A
1  0.296  45.56  A1  A
2  0.296  41.88  A2  A
3  0.296  48.1  A3  A
4  0.296  46.29  A4  A
5  0.296  43.21  A5  A
6  0.296  39.7  A6  A
7  0.296  43.56  A7  A
8  0.296  43.85  A8  A
9  0.296  43.24  A9  A
1  0.298  45.36  A1  A
2  0.298  42.06  A2  A
3  0.298  47.82  A3  A
4  0.298  46.56  A4  A
5  0.298  43.34  A5  A
6  0.298  39.88  A6  A
7  0.298  43.76  A7  A
8  0.298  43.72  A8  A
9  0.298  43.3  A9  A
1  0.3  45.63  A1  A
2  0.3  41.88  A2  A
3  0.3  47.41  A3  A
4  0.3  46.7  A4  A
5  0.3  43.28  A5  A
6  0.3  40.11  A6  A
7  0.3  43.44  A7  A
8  0.3  43.66  A8  A
9  0.3  43.24  A9  A
1  0.302  45.82  A1  A
2  0.302  41.82  A2  A
3  0.302  47.13  A3  A
4  0.302  46.77  A4  A
5  0.302  43.28  A5  A
6  0.302  40.29  A6  A
7  0.302  43.44  A7  A
8  0.302  43.78  A8  A
9  0.302  43.18  A9  A
1  0.304  45.89  A1  A
2  0.304  41.82  A2  A
3  0.304  47.47  A3  A
4  0.304  46.84  A4  A
5  0.304  43.21  A5  A
6  0.304  40.59  A6  A
7  0.304  43.88  A7  A
8  0.304  43.59  A8  A
9  0.304  43.05  A9  A
1  0.306  45.76  A1  A
2  0.306  41.76  A2  A
3  0.306  47  A3  A
4  0.306  46.77  A4  A
5  0.306  43.09  A5  A
6  0.306  40.41  A6  A
7  0.306  43.37  A7  A
8  0.306  43.4  A8  A
9  0.306  43.43  A9  A
1  0.308  45.49  A1  A
2  0.308  41.76  A2  A
3  0.308  47.06  A3  A
4  0.308  46.56  A4  A
5  0.308  43.21  A5  A
6  0.308  40.29  A6  A
7  0.308  43.37  A7  A
8  0.308  43.59  A8  A
9  0.308  43.49  A9  A
1  0.31  45.69  A1  A
2  0.31  41.46  A2  A
3  0.31  47  A3  A
4  0.31  46.7  A4  A
5  0.31  43.47  A5  A
6  0.31  40.29  A6  A
7  0.31  43.63  A7  A
8  0.31  43.66  A8  A
9  0.31  43.24  A9  A
1  0.312  46.02  A1  A
2  0.312  41.76  A2  A
3  0.312  47.2  A3  A
4  0.312  46.97  A4  A
5  0.312  43.72  A5  A
6  0.312  39.93  A6  A
7  0.312  44.14  A7  A
8  0.312  44.29  A8  A
9  0.312  42.99  A9  A
1  0.314  45.89  A1  A
2  0.314  42.31  A2  A
3  0.314  47.61  A3  A
4  0.314  47.04  A4  A
5  0.314  44.17  A5  A
6  0.314  39.82  A6  A
7  0.314  44.34  A7  A
8  0.314  44.29  A8  A
9  0.314  42.99  A9  A
1  0.316  46.02  A1  A
2  0.316  42.43  A2  A
3  0.316  48.03  A3  A
4  0.316  47.11  A4  A
5  0.316  44.11  A5  A
6  0.316  39.23  A6  A
7  0.316  44.4  A7  A
8  0.316  44.29  A8  A
9  0.316  42.74  A9  A
1  0.318  45.82  A1  A
2  0.318  42.49  A2  A
3  0.318  48.66  A3  A
4  0.318  47.6  A4  A
5  0.318  43.91  A5  A
6  0.318  39.47  A6  A
7  0.318  44.92  A7  A
8  0.318  44.04  A8  A
9  0.318  42.5  A9  A
1  0.32  45.95  A1  A
2  0.32  41.94  A2  A
3  0.32  48.94  A3  A
4  0.32  47.67  A4  A
5  0.32  43.79  A5  A
6  0.32  39.82  A6  A
7  0.32  44.34  A7  A
8  0.32  43.85  A8  A
9  0.32  43.18  A9  A
1  0.322  45.95  A1  A
2  0.322  41.58  A2  A
3  0.322  48.59  A3  A
4  0.322  47.74  A4  A
5  0.322  43.59  A5  A
6  0.322  39.58  A6  A
7  0.322  44.21  A7  A
8  0.322  43.47  A8  A
9  0.322  42.87  A9  A
1  0.324  45.82  A1  A
2  0.324  41.58  A2  A
3  0.324  48.17  A3  A
4  0.324  47.67  A4  A
5  0.324  43.59  A5  A
6  0.324  39.88  A6  A
7  0.324  43.88  A7  A
8  0.324  43.47  A8  A
9  0.324  42.87  A9  A
1  0.326  46.15  A1  A
2  0.326  41.34  A2  A
3  0.326  48.1  A3  A
4  0.326  47.11  A4  A
5  0.326  43.47  A5  A
6  0.326  39.41  A6  A
7  0.326  44.14  A7  A
8  0.326  43.66  A8  A
9  0.326  42.68  A9  A
1  0.328  45.89  A1  A
2  0.328  41.28  A2  A
3  0.328  47.96  A3  A
4  0.328  47.32  A4  A
5  0.328  43.15  A5  A
6  0.328  39.64  A6  A
7  0.328  44.21  A7  A
8  0.328  43.53  A8  A
9  0.328  42.87  A9  A
1  0.33  45.95  A1  A
2  0.33  41.7  A2  A
3  0.33  47.75  A3  A
4  0.33  47.53  A4  A
5  0.33  43.28  A5  A
6  0.33  39.47  A6  A
7  0.33  43.76  A7  A
8  0.33  43.66  A8  A
9  0.33  42.93  A9  A
1  0.332  46.15  A1  A
2  0.332  41.76  A2  A
3  0.332  47.75  A3  A
4  0.332  46.9  A4  A
5  0.332  42.9  A5  A
6  0.332  39.76  A6  A
7  0.332  43.76  A7  A
8  0.332  43.72  A8  A
9  0.332  42.99  A9  A
1  0.334  45.82  A1  A
2  0.334  41.88  A2  A
3  0.334  47.68  A3  A
4  0.334  46.77  A4  A
5  0.334  43.09  A5  A
6  0.334  40.05  A6  A
7  0.334  43.56  A7  A
8  0.334  43.59  A8  A
9  0.334  42.93  A9  A
1  0.336  45.76  A1  A
2  0.336  41.7  A2  A
3  0.336  47.75  A3  A
4  0.336  46.9  A4  A
5  0.336  42.83  A5  A
6  0.336  39.82  A6  A
7  0.336  43.82  A7  A
8  0.336  43.53  A8  A
9  0.336  42.99  A9  A
1  0.338  45.36  A1  A
2  0.338  41.76  A2  A
3  0.338  47.34  A3  A
4  0.338  46.84  A4  A
5  0.338  43.21  A5  A
6  0.338  39.58  A6  A
7  0.338  43.5  A7  A
8  0.338  43.66  A8  A
9  0.338  42.93  A9  A
1  0.34  45.63  A1  A
2  0.34  41.64  A2  A
3  0.34  47.68  A3  A
4  0.34  46.7  A4  A
5  0.34  43.15  A5  A
6  0.34  39.76  A6  A
7  0.34  43.76  A7  A
8  0.34  43.66  A8  A
9  0.34  43.05  A9  A
1  0.342  45.69  A1  A
2  0.342  41.7  A2  A
3  0.342  47.41  A3  A
4  0.342  46.63  A4  A
5  0.342  42.83  A5  A
6  0.342  40.11  A6  A
7  0.342  43.76  A7  A
8  0.342  43.72  A8  A
9  0.342  43.24  A9  A
1  0.344  45.89  A1  A
2  0.344  41.94  A2  A
3  0.344  47.61  A3  A
4  0.344  46.56  A4  A
5  0.344  43.02  A5  A
6  0.344  39.93  A6  A
7  0.344  43.56  A7  A
8  0.344  43.78  A8  A
9  0.344  42.74  A9  A
1  0.346  46.09  A1  A
2  0.346  41.58  A2  A
3  0.346  47.61  A3  A
4  0.346  46.43  A4  A
5  0.346  43.15  A5  A
6  0.346  39.76  A6  A
7  0.346  43.82  A7  A
8  0.346  43.85  A8  A
9  0.346  42.74  A9  A
1  0.348  46.15  A1  A
2  0.348  41.64  A2  A
3  0.348  47.41  A3  A
4  0.348  46.63  A4  A
5  0.348  43.21  A5  A
6  0.348  39.88  A6  A
7  0.348  43.44  A7  A
8  0.348  43.85  A8  A
9  0.348  42.8  A9  A
1  0.35  45.95  A1  A
2  0.35  41.82  A2  A
3  0.35  47.61  A3  A
4  0.35  46.43  A4  A
5  0.35  42.9  A5  A
6  0.35  39.88  A6  A
7  0.35  43.76  A7  A
8  0.35  43.59  A8  A
9  0.35  43.11  A9  A
1  0.352  45.95  A1  A
2  0.352  41.88  A2  A
3  0.352  47.89  A3  A
4  0.352  46.49  A4  A
5  0.352  43.28  A5  A
6  0.352  39.82  A6  A
7  0.352  43.82  A7  A
8  0.352  43.78  A8  A
9  0.352  43.11  A9  A
1  0.354  46.02  A1  A
2  0.354  41.82  A2  A
3  0.354  47.47  A3  A
4  0.354  46.77  A4  A
5  0.354  43.09  A5  A
6  0.354  39.93  A6  A
7  0.354  43.76  A7  A
8  0.354  43.78  A8  A
9  0.354  43.11  A9  A
1  0.356  46.15  A1  A
2  0.356  42  A2  A
3  0.356  47.61  A3  A
4  0.356  46.9  A4  A
5  0.356  43.21  A5  A
6  0.356  39.64  A6  A
7  0.356  43.56  A7  A
8  0.356  43.59  A8  A
9  0.356  42.87  A9  A
1  0.358  46.22  A1  A
2  0.358  41.64  A2  A
3  0.358  47.61  A3  A
4  0.358  46.7  A4  A
5  0.358  43.34  A5  A
6  0.358  39.99  A6  A
7  0.358  43.69  A7  A
8  0.358  43.72  A8  A
9  0.358  42.87  A9  A
1  0.36  45.69  A1  A
2  0.36  41.46  A2  A
3  0.36  47.41  A3  A
4  0.36  46.15  A4  A
5  0.36  43.09  A5  A
6  0.36  39.64  A6  A
7  0.36  43.5  A7  A
8  0.36  43.91  A8  A
9  0.36  42.8  A9  A
1  0.362  45.89  A1  A
2  0.362  41.34  A2  A
3  0.362  47.41  A3  A
4  0.362  46.77  A4  A
5  0.362  43.15  A5  A
6  0.362  39.7  A6  A
7  0.362  43.95  A7  A
8  0.362  44.04  A8  A
9  0.362  42.8  A9  A
1  0.364  46.09  A1  A
2  0.364  41.64  A2  A
3  0.364  47.06  A3  A
4  0.364  46.77  A4  A
5  0.364  43.21  A5  A
6  0.364  39.93  A6  A
7  0.364  44.01  A7  A
8  0.364  43.97  A8  A
9  0.364  43.05  A9  A
1  0.366  45.95  A1  A
2  0.366  41.76  A2  A
3  0.366  47.34  A3  A
4  0.366  46.84  A4  A
5  0.366  43.4  A5  A
6  0.366  39.99  A6  A
7  0.366  43.82  A7  A
8  0.366  43.91  A8  A
9  0.366  42.87  A9  A
1  0.368  45.89  A1  A
2  0.368  42  A2  A
3  0.368  47.13  A3  A
4  0.368  46.84  A4  A
5  0.368  43.28  A5  A
6  0.368  39.7  A6  A
7  0.368  43.95  A7  A
8  0.368  44.04  A8  A
9  0.368  43.05  A9  A
1  0.37  45.82  A1  A
2  0.37  41.76  A2  A
3  0.37  47.2  A3  A
4  0.37  46.43  A4  A
5  0.37  43.47  A5  A
6  0.37  40.05  A6  A
7  0.37  43.88  A7  A
8  0.37  43.85  A8  A
9  0.37  43.18  A9  A
1  0.372  45.82  A1  A
2  0.372  41.82  A2  A
3  0.372  47.06  A3  A
4  0.372  46.43  A4  A
5  0.372  43.34  A5  A
6  0.372  39.88  A6  A
7  0.372  43.76  A7  A
8  0.372  43.78  A8  A
9  0.372  43.11  A9  A
1  0.374  46.15  A1  A
2  0.374  42.06  A2  A
3  0.374  46.86  A3  A
4  0.374  46.97  A4  A
5  0.374  43.34  A5  A
6  0.374  39.88  A6  A
7  0.374  43.76  A7  A
8  0.374  43.78  A8  A
9  0.374  43.11  A9  A
1  0.376  45.82  A1  A
2  0.376  42  A2  A
3  0.376  47.2  A3  A
4  0.376  46.63  A4  A
5  0.376  43.34  A5  A
6  0.376  39.64  A6  A
7  0.376  43.76  A7  A
8  0.376  43.59  A8  A
9  0.376  43.68  A9  A
1  0.378  45.95  A1  A
2  0.378  41.82  A2  A
3  0.378  47.2  A3  A
4  0.378  46.43  A4  A
5  0.378  43.4  A5  A
6  0.378  39.52  A6  A
7  0.378  43.69  A7  A
8  0.378  43.78  A8  A
9  0.378  43.49  A9  A
1  0.38  45.76  A1  A
2  0.38  41.88  A2  A
3  0.38  47.13  A3  A
4  0.38  46.29  A4  A
5  0.38  43.28  A5  A
6  0.38  39.64  A6  A
7  0.38  44.14  A7  A
8  0.38  44.23  A8  A
9  0.38  43.55  A9  A
1  0.382  45.82  A1  A
2  0.382  42.06  A2  A
3  0.382  46.93  A3  A
4  0.382  46.09  A4  A
5  0.382  43.15  A5  A
6  0.382  39.93  A6  A
7  0.382  43.88  A7  A
8  0.382  44.1  A8  A
9  0.382  43.8  A9  A
1  0.384  46.15  A1  A
2  0.384  42.37  A2  A
3  0.384  47.06  A3  A
4  0.384  46.56  A4  A
5  0.384  43.15  A5  A
6  0.384  39.99  A6  A
7  0.384  43.88  A7  A
8  0.384  44.1  A8  A
9  0.384  43.93  A9  A
1  0.386  45.82  A1  A
2  0.386  42  A2  A
3  0.386  47.41  A3  A
4  0.386  46.29  A4  A
5  0.386  43.34  A5  A
6  0.386  39.99  A6  A
7  0.386  43.88  A7  A
8  0.386  43.78  A8  A
9  0.386  43.8  A9  A
1  0.388  45.89  A1  A
2  0.388  42.25  A2  A
3  0.388  47.34  A3  A
4  0.388  46.49  A4  A
5  0.388  43.15  A5  A
6  0.388  40.29  A6  A
7  0.388  43.88  A7  A
8  0.388  43.91  A8  A
9  0.388  43.68  A9  A
1  0.39  46.02  A1  A
2  0.39  42.31  A2  A
3  0.39  47.54  A3  A
4  0.39  46.09  A4  A
5  0.39  42.96  A5  A
6  0.39  39.93  A6  A
7  0.39  44.08  A7  A
8  0.39  43.66  A8  A
9  0.39  43.8  A9  A
1  0.392  46.09  A1  A
2  0.392  42.25  A2  A
3  0.392  47.61  A3  A
4  0.392  46.36  A4  A
5  0.392  43.02  A5  A
6  0.392  40.11  A6  A
7  0.392  43.95  A7  A
8  0.392  43.66  A8  A
9  0.392  43.49  A9  A
1  0.394  45.89  A1  A
2  0.394  42.19  A2  A
3  0.394  47.89  A3  A
4  0.394  46.49  A4  A
5  0.394  43.21  A5  A
6  0.394  39.93  A6  A
7  0.394  43.69  A7  A
8  0.394  44.1  A8  A
9  0.394  43.55  A9  A
1  0.396  45.95  A1  A
2  0.396  42.19  A2  A
3  0.396  47.47  A3  A
4  0.396  46.56  A4  A
5  0.396  43.21  A5  A
6  0.396  40.11  A6  A
7  0.396  44.21  A7  A
8  0.396  43.91  A8  A
9  0.396  43.62  A9  A
1  0.398  46.15  A1  A
2  0.398  42.37  A2  A
3  0.398  47.61  A3  A
4  0.398  46.36  A4  A
5  0.398  42.9  A5  A
6  0.398  39.99  A6  A
7  0.398  43.82  A7  A
8  0.398  44.1  A8  A
9  0.398  43.36  A9  A
1  0.4  46.15  A1  A
2  0.4  42.31  A2  A
3  0.4  47.96  A3  A
4  0.4  46.49  A4  A
5  0.4  43.09  A5  A
6  0.4  39.88  A6  A
7  0.4  43.95  A7  A
8  0.4  44.1  A8  A
9  0.4  43.68  A9  A
1  0.402  46.02  A1  A
2  0.402  42.61  A2  A
3  0.402  47.54  A3  A
4  0.402  46.22  A4  A
5  0.402  43.21  A5  A
6  0.402  40.23  A6  A
7  0.402  43.95  A7  A
8  0.402  43.91  A8  A
9  0.402  43.49  A9  A
1  0.404  45.89  A1  A
2  0.404  42.37  A2  A
3  0.404  47.89  A3  A
4  0.404  46.02  A4  A
5  0.404  43.34  A5  A
6  0.404  39.88  A6  A
7  0.404  43.95  A7  A
8  0.404  43.97  A8  A
9  0.404  43.49  A9  A
1  0.406  46.22  A1  A
2  0.406  42.49  A2  A
3  0.406  48.03  A3  A
4  0.406  46.56  A4  A
5  0.406  43.28  A5  A
6  0.406  39.99  A6  A
7  0.406  43.88  A7  A
8  0.406  43.85  A8  A
9  0.406  43.11  A9  A
1  0.408  45.76  A1  A
2  0.408  42.49  A2  A
3  0.408  47.68  A3  A
4  0.408  46.7  A4  A
5  0.408  43.34  A5  A
6  0.408  40.11  A6  A
7  0.408  43.88  A7  A
8  0.408  44.42  A8  A
9  0.408  42.87  A9  A
1  0.41  46.09  A1  A
2  0.41  42.55  A2  A
3  0.41  47.75  A3  A
4  0.41  46.15  A4  A
5  0.41  43.15  A5  A
6  0.41  39.93  A6  A
7  0.41  43.69  A7  A
8  0.41  44.16  A8  A
9  0.41  43.11  A9  A
1  0.412  45.82  A1  A
2  0.412  42.55  A2  A
3  0.412  47.61  A3  A
4  0.412  46.02  A4  A
5  0.412  43.21  A5  A
6  0.412  39.93  A6  A
7  0.412  43.95  A7  A
8  0.412  43.97  A8  A
9  0.412  43.05  A9  A
1  0.414  46.09  A1  A
